33602,362.81,631.59,691.78,466.19,315.78,804.4,159.95,735,429.07,493.17,355.92,862.76,503.32,413.99,220.22,1336.5,615.43,464.94,357.35,1016.7
33902,244.48,459.14,622.34,401.46,265.67,762.48,203.87,1011.4,385.94,469.79,434.76,1055.5,360.84,317.81,182.39,1223.7,483.38,416.24,381.23,1060.5
34202,419.05,587.15,864.04,445.06,340.33,788.56,195.7,768.03,502.63,483.91,471.85,899.57,585.67,373.77,220.09,1288.2,712.33,461.78,472.32,996.35
34502,406.73,660.14,1038.4,520.73,357.23,963.53,193.77,866.77,518.43,571.68,463.12,1016.5,622.54,437.85,200.8,1523.9,718.24,545.03,481.27,1104
34802,177.98,344.39,411.11,251.23,234.34,646.46,189.17,813.13,288.41,354.99,311.26,718.58,176.89,177.32,81.695,687.78,348.4,342.43,250.97,657.12
35102,522.34,485.43,1269.4,411.22,458.07,734.08,310.72,721.27,659.31,447.19,606.2,778.23,788.42,334.08,219.3,1101.9,942.06,439.19,629.83,792.89
35402,497.48,552.23,1298.4,479.23,454.09,877.23,333.52,897.18,648.67,516.63,580.98,895.63,760.09,401.16,212.73,1307.9,943.16,529.85,618.74,914.52
35702,568.02,463.33,1463,411.84,544.09,704.61,464.04,786.12,769.68,435.68,665.3,734.77,921.48,351.9,248.09,1048.7,1148.4,472.09,695.84,747.82
36003,838.17,657.65,2283,552.85,788.97,935.57,558.02,903.09,892.55,499.06,933.91,972.23,1265.7,464.98,373.85,1459.7,1556.2,637.77,986.23,992.38
36302,750.94,482.69,2183.1,434.47,795.72,711.75,498.23,580.43,991.54,436.72,876.12,725.06,1217.2,357.17,435.69,1178.1,1521.7,493.59,952.59,736.82
36603,679.57,560.78,2088.7,501.31,742.93,888.12,460.4,655.55,919.58,499.34,817.33,851.56,1146.9,437.82,405.36,1336.2,1406.2,576.63,840.37,839.78
36903,836.93,550.35,2303,489.02,860.47,852.35,497.96,567.16,1040.7,479.36,962.81,813.19,1288.2,415.3,511.14,1310.1,1650,560.19,1013.2,811.8
37202,700.16,368.87,1943.8,331.59,722.42,560.95,493.43,414.31,864.08,322.84,831.57,559.24,1091.6,302.41,469.49,922.64,1344.4,398.63,826.71,554.42
37502,574.43,312.05,1750.2,293.31,700.06,515.77,294.21,249.52,843.4,289.15,812.75,500.81,972.16,262.61,462.16,830.68,1252.6,372.49,722.53,483.21
37802,764.76,338.25,2359.5,307.27,1016.3,566.03,469.18,305.82,1182.8,335.94,1154.2,590.91,1396,311.55,688.14,969.17,1784.1,428.04,1076.6,556.61
38102,883.5,410.33,2370.1,337.07,1057.5,666.97,574.25,405.44,1194.7,363.15,1209,651.83,1413.2,336.8,718.59,1045.8,1776.7,462.05,1085.6,600.9
